Price,Close,High,Low,Open,Volume
Ticker,UBS,UBS,UBS,UBS,UBS
Date,,,,,
2020-01-02,10.959759712219238,10.959759712219238,10.74769005959732,10.773138191397123,3352200
2020-01-03,10.781620979309082,10.83251805098219,10.730723907635976,10.756172847963285,2627400
2020-01-06,10.756174087524414,10.773139240716205,10.67134589462065,10.688311856794044,2318500
2020-01-07,10.976724624633789,11.014897225992678,10.911407457810652,10.95975947346401,4237600
2020-01-08,11.120932579040527,11.15486369197577,11.070036314128435,11.087001466105285,3363200
2020-01-09,11.146381378173828,11.171829510304981,11.04458804066768,11.103967285300882,4590100
2020-01-10,11.010656356811523,11.087001563834168,10.993691204685131,11.078519392261747,3200200
2020-01-13,11.10396671295166,11.10396671295166,10.976724440891473,11.010655551644557,2277400
2020-01-14,11.146381378173828,11.231208754938184,11.061553192427938,11.070036172798833,3257200
2020-01-15,11.095483779907227,11.154863021730687,11.053069689041259,11.14638085074269,2011700
2020-01-16,11.197277069091797,11.197277069091797,11.108208206702667,11.12941484756251,1481700
2020-01-17,11.146381378173828,11.197277642436134,11.112450265671779,11.197277642436134,1960300
2020-01-21,10.611966133117676,10.790104682437933,10.586517191085095,10.730724626676805,7408800
2020-01-22,10.883413314819336,10.89189629414989,10.815551098137771,10.87493033548878,4365600
2020-01-23,10.866450309753418,10.883415462781352,10.696793925584512,10.756173983636268,3241800
2020-01-24,10.73072338104248,10.90886190968422,10.70527525094551,10.90886190968422,3110700
2020-01-27,10.569551467895508,10.662861823364327,10.535620355999436,10.586516619352784,3896600
2020-01-28,10.561068534851074,10.594999646898712,10.497447800884443,10.544103383318017,7774600
2020-01-29,10.62044906616211,10.705276445612238,10.607724595202889,10.671345332035875,2251000
2020-01-30,10.662861824035645,10.662861824035645,10.522895886332845,10.56106848834102,4185800
2020-01-31,10.493206024169922,10.637413448679235,10.429585291940871,10.620448297609522,3392400
2020-02-03,10.459274291992188,10.58651574889487,10.442309141929842,10.484722421576434,2036200
2020-02-04,10.569551467895508,10.671344803583725,10.569551467895508,10.628930711468254,2922700
2020-02-05,10.824034690856934,10.874930951761636,10.756172470329675,10.7985857514231,3432600
2020-02-06,10.91734504699707,10.976724287741119,10.891896916532689,10.959759137092025,2053200
2020-02-07,10.985207557678223,11.010655688814694,10.934311295405278,10.942793466463101,2376600
