Price,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker, UBS, UBS,AIY.DE,EA,RKT, UBS,AIY.DE,EA,RKT, UBS,AIY.DE,EA,RKT, UBS,AIY.DE,EA,RKT, UBS,AIY.DE,EA,RKT
Date,,,,,,,,,,,,,,,,,,,,,
2010-01-04,,,17.52007293701172,17.7060546875,,,17.52007293701172,17.793853456486065,,,17.52007293701172,17.452414006061954,,,17.52007293701172,17.549968400568172,,,0.0,3850500.0,
2010-01-05,,,17.52007293701172,18.20357894897461,,,17.52007293701172,18.408443346897524,,,17.52007293701172,17.784096389094735,,,17.52007293701172,17.862139526233186,,,0.0,6632500.0,
2010-01-06,,,17.52007293701172,17.735319137573242,,,17.52007293701172,18.193822310117696,,,17.52007293701172,17.618253508043246,,,17.52007293701172,18.154801674071066,,,0.0,5047300.0,
2010-01-07,,,17.52007293701172,17.598743438720703,,,17.52007293701172,17.628008449448398,,,17.52007293701172,17.34510280180911,,,17.52007293701172,17.471922189917414,,,0.0,5433200.0,
2010-01-08,,,17.52007293701172,17.949935913085938,,,17.52007293701172,17.998714030277956,,,17.52007293701172,17.588987149339587,,,17.52007293701172,17.735317779525808,,,0.0,4055600.0,
2010-01-11,,,17.52007293701172,17.823118209838867,,,17.52007293701172,18.242600753757362,,,17.52007293701172,17.686541329521976,,,17.52007293701172,18.01822511491357,,,0.0,6142400.0,
2010-01-12,,,17.52007293701172,16.437849044799805,,,17.52007293701172,16.720754671604755,,,17.52007293701172,16.15494155730001,,,17.52007293701172,16.330539051514386,,,0.0,31920900.0,
2010-01-13,,,17.52007293701172,16.750024795532227,,,17.52007293701172,16.798801059760564,,,17.52007293701172,16.320786599681078,,,17.52007293701172,16.437852238802375,,,0.0,14347600.0,
2010-01-14,,,17.52007293701172,16.759775161743164,,,17.52007293701172,16.915861391132363,,,17.52007293701172,16.564666444659355,,,17.52007293701172,16.681732047048566,,,0.0,9110400.0,
2010-01-15,,,17.52007293701172,16.61345100402832,,,17.52007293701172,16.867091690428982,,,17.52007293701172,16.535407859035452,,,17.52007293701172,16.789046684740764,,,0.0,9530400.0,
2010-01-18,,,17.52007293701172,,,,17.52007293701172,,,,17.52007293701172,,,,17.52007293701172,,,,0.0,,
2010-01-19,,,17.52007293701172,16.750024795532227,,,17.52007293701172,16.798801059760564,,,17.52007293701172,16.467117253061293,,,17.52007293701172,16.486628503030712,,,0.0,7651400.0,
2010-01-20,,,17.52007293701172,16.789039611816406,,,17.52007293701172,16.818306476619878,,,17.52007293701172,16.213472822904656,,,17.52007293701172,16.574421518674644,,,0.0,8092800.0,
2010-01-21,,,17.52007293701172,16.95488739013672,,,17.52007293701172,17.140240544024365,,,17.52007293701172,16.711002346856475,,,17.52007293701172,16.86709048639543,,,0.0,12834900.0,
2010-01-22,,,17.52007293701172,16.359806060791016,,,17.52007293701172,16.876841064075037,,,17.52007293701172,16.291518559277645,,,17.52007293701172,16.828064808906873,,,0.0,8718600.0,
2010-01-25,,,17.52007293701172,16.418336868286133,,,17.52007293701172,16.750020591741993,,,17.52007293701172,16.26225062909452,,,17.52007293701172,16.48662436534562,,,0.0,7703100.0,
2010-01-26,,,17.52007293701172,16.330543518066406,,,17.52007293701172,16.54516170264242,,,17.52007293701172,16.252500372702823,,,17.52007293701172,16.340299143823774,,,0.0,6189100.0,
2010-01-27,,,17.52007293701172,16.71100616455078,,,17.52007293701172,16.798804949045262,,,17.52007293701172,16.242747221043988,,,17.52007293701172,16.242747221043988,,,0.0,10947600.0,
2010-01-28,,,17.52007293701172,16.359806060791016,,,17.52007293701172,16.876841064075037,,,17.52007293701172,16.018366692529295,,,17.52007293701172,16.69148980588013,,,0.0,12769100.0,
