Price,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker, UBI,ATVI, UBI,ATVI,EA,RKT, UBI,ATVI,EA,RKT, UBI,ATVI,EA,RKT, UBI,ATVI,EA,RKT, UBI,ATVI,EA,RKT
Date,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,,,,,17.7060546875,,,,17.793853456486065,,,,17.452414006061954,,,,17.549968400568172,,,,3850500,
2010-01-05,,,,,18.20357894897461,,,,18.408443346897524,,,,17.784096389094735,,,,17.862139526233186,,,,6632500,
2010-01-06,,,,,17.735319137573242,,,,18.193822310117696,,,,17.618253508043246,,,,18.154801674071066,,,,5047300,
2010-01-07,,,,,17.598743438720703,,,,17.628008449448398,,,,17.34510280180911,,,,17.471922189917414,,,,5433200,
2010-01-08,,,,,17.949935913085938,,,,17.998714030277956,,,,17.588987149339587,,,,17.735317779525808,,,,4055600,
2010-01-11,,,,,17.823118209838867,,,,18.242600753757362,,,,17.686541329521976,,,,18.01822511491357,,,,6142400,
2010-01-12,,,,,16.437849044799805,,,,16.720754671604755,,,,16.15494155730001,,,,16.330539051514386,,,,31920900,
2010-01-13,,,,,16.750024795532227,,,,16.798801059760564,,,,16.320786599681078,,,,16.437852238802375,,,,14347600,
2010-01-14,,,,,16.759775161743164,,,,16.915861391132363,,,,16.564666444659355,,,,16.681732047048566,,,,9110400,
2010-01-15,,,,,16.61345100402832,,,,16.867091690428982,,,,16.535407859035452,,,,16.789046684740764,,,,9530400,
2010-01-19,,,,,16.750024795532227,,,,16.798801059760564,,,,16.467117253061293,,,,16.486628503030712,,,,7651400,
2010-01-20,,,,,16.789039611816406,,,,16.818306476619878,,,,16.213472822904656,,,,16.574421518674644,,,,8092800,
2010-01-21,,,,,16.95488739013672,,,,17.140240544024365,,,,16.711002346856475,,,,16.86709048639543,,,,12834900,
2010-01-22,,,,,16.359806060791016,,,,16.876841064075037,,,,16.291518559277645,,,,16.828064808906873,,,,8718600,
2010-01-25,,,,,16.418336868286133,,,,16.750020591741993,,,,16.26225062909452,,,,16.48662436534562,,,,7703100,
2010-01-26,,,,,16.330543518066406,,,,16.54516170264242,,,,16.252500372702823,,,,16.340299143823774,,,,6189100,
2010-01-27,,,,,16.71100616455078,,,,16.798804949045262,,,,16.242747221043988,,,,16.242747221043988,,,,10947600,
