iter	Passed	Remaining
403	7207	10632
404	7223	10612
405	7244	10598
406	7259	10577
407	7273	10554
408	7285	10526
409	7297	10501
410	7311	10478
411	7326	10455
412	7340	10433
413	7356	10412
414	7372	10392
415	7387	10370
416	7401	10347
417	7415	10325
418	7427	10299
419	7441	10277
420	7460	10259
421	7475	10239
422	7490	10217
423	7505	10195
424	7519	10173
425	7534	10151
426	7548	10129
427	7563	10108
428	7579	10087
429	7593	10065
430	7605	10040
431	7619	10018
432	7633	9995
433	7651	9978
434	7670	9963
435	7685	9941
436	7699	9918
437	7713	9897
438	7727	9874
439	7741	9852
440	7756	9831
441	7772	9811
442	7785	9789
443	7801	9769
444	7814	9745
445	7828	9723
446	7842	9702
447	7861	9686
448	7878	9668
449	7893	9647
450	7907	9626
451	7921	9604
452	7935	9582
453	7950	9561
454	7962	9537
455	7981	9521
456	7997	9502
457	8011	9481
458	8024	9457
459	8038	9436
460	8053	9415
461	8071	9398
462	8087	9380
463	8103	9360
464	8117	9339
465	8134	9321
466	8149	9301
467	8163	9280
468	8180	9261
469	8195	9242
470	8210	9221
471	8224	9200
472	8236	9176
473	8250	9155
474	8264	9134
475	8283	9119
476	8301	9101
477	8315	9081
478	8329	9060
479	8344	9039
480	8358	9019
481	8372	8998
482	8387	8977
483	8404	8960
484	8421	8942
485	8430	8916
486	8445	8896
487	8459	8875
488	8474	8855
489	8488	8835
490	8508	8820
491	8525	8802
492	8541	8783
493	8555	8763
494	8569	8742
495	8584	8723
496	8596	8700
497	8608	8677
498	8625	8659
499	8639	8639
500	8653	8619
501	8667	8598
502	8682	8578
503	8695	8557
504	8707	8535
505	8730	8523
506	8744	8503
507	8756	8480
508	8768	8458
509	8785	8440
510	8801	8422
511	8816	8402
512	8832	8384
513	8846	8364
514	8861	8344
515	8875	8325
516	8891	8306
517	8907	8288
518	8922	8269
519	8937	8249
520	8953	8231
521	8969	8213
522	8986	8195
523	9002	8177
524	9014	8155
525	9029	8136
526	9045	8118
527	9059	8098
528	9074	8079
529	9094	8065
530	9108	8045
531	9123	8025
532	9137	8005
533	9153	7988
534	9169	7969
535	9184	7950
536	9198	7930
537	9207	7907
538	9222	7887
539	9240	7871
540	9265	7860
541	9281	7843
542	9297	7824
543	9315	7808
544	9330	7789
545	9351	7775
546	9368	7758
547	9384	7740
548	9399	7721
549	9416	7704
550	9437	7690
551	9453	7672
552	9469	7654
553	9483	7635
554	9498	7615
555	9512	7596
556	9527	7577
557	9543	7559
558	9560	7542
559	9580	7527
560	9594	7508
561	9609	7489
562	9623	7469
563	9637	7450
564	9655	7433
565	9674	7418
566	9691	7401
567	9707	7382
568	9722	7364
569	9739	7347
570	9752	7327
571	9767	7308
572	9786	7292
573	9806	7277
574	9822	7259
575	9840	7244
576	9857	7226
577	9873	7208
578	9889	7191
579	9907	7174
580	9924	7156
581	9939	7138
582	9956	7121
583	9971	7103
584	9994	7090
585	10012	7073
586	10029	7056
587	10046	7039
588	10060	7020
589	10076	7002
590	10091	6983
591	10108	6966
592	10122	6947
593	10132	6925
594	10146	6906
595	10160	6887
596	10175	6868
597	10193	6852
598	10213	6837
599	10225	6816
600	10239	6797
601	10254	6779
602	10268	6760
